112下,110060,MDMD20135,,核心實習訓練(外科),Core Clerkship-Surgery,不限,148,,12.00,40.00,張世慶,必修,(醫學系)
112下,110061,MDMD20138,,核心實習訓練(婦產科),Core Clerkship-Obstetrics & Gynecology,不限,148,,6.00,40.00,陳怡仁,必修,(醫學系)
112下,110062,MDMD20136,,核心實習訓練(兒科),Core Clerkship-Pediatrics,不限,148,,6.00,40.00,張瑞文、楊令瑀,必修,(醫學系)
112下,110063,MDMD20140,,核心實習訓練(影像診斷學),Core Clerkship-Radiology,不限,148,,4.00,40.00,凌憬峰,必修,(醫學系)
112下,110064,MDMD20144,,核心實習訓練(高齡醫學),Core Clerkship-Geriatric Medicine,不限,148,,1.00,40.00,陳亮恭,必修,(醫學系)
112下,110065,MDMD20142,,核心實習訓練(家庭醫學科),Core Clerkship-Family Medicine,不限,148,,1.00,40.00,陳育群,必修,(醫學系)
112下,110066,MDMD20143,,核心實習訓練(精神科),Core Clerkship-Psychiatry,不限,148,,2.00,40.00,白雅美,必修,(醫學系)
112下,110067,MDMD20137,,核心實習訓練(神經內科),Core Clerkship-Neurology,不限,148,,2.00,40.00,紀乃方,必修,(醫學系)
112下,110068,MDMD20141,,核心實習訓練(骨科),Core Clerkship-Orthopedics,不限,148,,2.00,40.00,吳博貴,必修,(醫學系)
112下,110069,MDMD10109,,醫用台語,Medical Taiwanese,不限,12,Rab-,1.00,1.00,林良儒、凌憬峰,選修,(醫學系)
112下,110071,MDMD20050,,婦產科臨床實習(一),Clerkship in Obstetrics & Gynecology,不限,150,,2.00,0.00,婦產學科,必修,(醫學系)
112下,110072,MDMD20269,,婦產科臨床實習(二),Clerkship in Obstetrics & Gynecology,不限,4,,2.00,0.00,婦產學科,必修,(醫學系)
112下,110073,MDMD20270,,婦產科臨床實習(三),Clerkship in Obstetrics & Gynecology,不限,0,,2.00,0.00,婦產學科,必修,(醫學系)
112下,110074,MDMD20052,,婦產科臨床實習,Internship in Obstetrics & Gynecology,不限,0,,6.00,0.00,婦產學科,必修,(醫學系)
112下,110075,MDMD20069,,小兒科臨床實習(一),Clerkship in Pediatrics,不限,151,,2.00,0.00,小兒學科,必修,(醫學系)
112下,110076,MDMD20271,,小兒科臨床實習(二),Clerkship in Pediatrics,不限,10,,2.00,0.00,小兒學科,必修,(醫學系)
112下,110077,MDMD20272,,小兒科臨床實習(三),Clerkship in Pediatrics,不限,1,,2.00,0.00,小兒學科,必修,(醫學系)
112下,110078,MDMD20345,,小兒科臨床實習(四),Clerkship in Pediatrics,不限,0,,2.00,0.00,小兒學科,必修,(醫學系)
112下,110079,MDMD20071,,小兒科臨床實習,Internship in Pediatrics,不限,1,,6.00,0.00,小兒學科,必修,(醫學系)
112下,110080,MDMD20194,,精神科臨床實習(一),Clerkship in Psychiatry,不限,15,,2.00,0.00,精神學科,必修,(醫學系)
112下,110081,MDMD20273,,精神科臨床實習(二),Clerkship in Psychiatry,不限,6,,2.00,0.00,精神學科,必修,(醫學系)
112下,110082,MDMD20274,,精神科臨床實習(三),Clerkship in Psychiatry,不限,3,,2.00,0.00,精神學科,必修,(醫學系)
112下,110083,MDMD20187,,神經科臨床實習(一),Clerkship in Neurology,不限,23,,2.00,0.00,神經學科,必修,(醫學系)
112下,110084,MDMD20275,,神經科臨床實習(二),Clerkship in Neurology,不限,2,,2.00,0.00,神經學科,必修,(醫學系)
112下,110085,MDMD20276,,神經科臨床實習(三),Clerkship in Neurology,不限,1,,2.00,0.00,神經學科,必修,(醫學系)
112下,110086,MDMD20215,,胸腔科臨床實習(一),Clerkship in Chest Medicine,不限,38,,2.00,0.00,內科學科,必修,(醫學系)
112下,110087,MDMD20277,,胸腔科臨床實習(二),Clerkship in Chest Medicine,不限,2,,2.00,0.00,內科學科,必修,(醫學系)
112下,110088,MDMD20278,,胸腔科臨床實習(三),Clerkship in Chest Medicine,不限,0,,2.00,0.00,內科學科,必修,(醫學系)
